Label,Level 5,Level 4,Level 3,Level 2,Level 1
1,SPG_L,SPG_L,Parietal_L,CerebralCortex_L,CerebralCortex_L
2,Cingulate_L,Cingulate_L,Limbic_L,CerebralCortex_L,CerebralCortex_L
3,SFG_L,SFG_L,Frontal_L,CerebralCortex_L,CerebralCortex_L
4,MFG_L,MFG_L,Frontal_L,CerebralCortex_L,CerebralCortex_L
5,IFG_L,IFG_L,Frontal_L,CerebralCortex_L,CerebralCortex_L
6,PrCG_L,PrCG_L,Frontal_L,CerebralCortex_L,CerebralCortex_L
7,PoCG_L,PoCG_L,Parietal_L,CerebralCortex_L,CerebralCortex_L
8,AG_L,AG_L,Parietal_L,CerebralCortex_L,CerebralCortex_L
9,PrCu_L,PrCu_L,Parietal_L,CerebralCortex_L,CerebralCortex_L
10,Cu_L,Cu_L,Occipital_L,CerebralCortex_L,CerebralCortex_L
11,LG_L,LG_L,Occipital_L,CerebralCortex_L,CerebralCortex_L
12,FuG_L,FuG_L,Temporal_L,CerebralCortex_L,CerebralCortex_L
13,PHG_L,Limbic_L,Limbic_L,CerebralCortex_L,CerebralCortex_L
14,SOG_L,SOG_L,Occipital_L,CerebralCortex_L,CerebralCortex_L
15,IOG_L,IOG_L,Occipital_L,CerebralCortex_L,CerebralCortex_L
16,MOG_L,MOG_L,Occipital_L,CerebralCortex_L,CerebralCortex_L
17,ENT_L,Limbic_L,Limbic_L,CerebralCortex_L,CerebralCortex_L
18,STG_L,STG_L,Temporal_L,CerebralCortex_L,CerebralCortex_L
19,ITG_L,ITG_L,Temporal_L,CerebralCortex_L,CerebralCortex_L
20,MTG_L,MTG_L,Temporal_L,CerebralCortex_L,CerebralCortex_L
21,LFOG_L,OG_L,Frontal_L,CerebralCortex_L,CerebralCortex_L
22,MFOG_L,OG_L,Frontal_L,CerebralCortex_L,CerebralCortex_L
23,SMG_L,SMG_L,Parietal_L,CerebralCortex_L,CerebralCortex_L
24,RG_L,RG_L,Frontal_L,CerebralCortex_L,CerebralCortex_L
25,Insula_L,Insula_L,Insula_L,CerebralCortex_L,CerebralCortex_L
26,Amyg_L,Amyg_L,Amyg_L,CerebralNucli_L,CerebralNucli_L
27,Hippo_L,Hippo_L,Limbic_L,CerebralCortex_L,CerebralCortex_L
28,CerebellarGM_L,CerebellarGM_L,CerebellarGM_L,CerebellarGM_L,CerebellarGM_L
29,CorticospinalTractLeft,CorticofugalLeft,CorticofugalLeft,BrainstemWMLeft,WMLeft
30,InferiorCerebellarPeduncleLeft,CerebellarWMLeft,CerebellarWMLeft,CerebellarWMLeft,WMLeft
31,MedialLemniscusLeft,Sensory,Sensory,BrainstemWMLeft,WMLeft
32,SuperiorCerebellarPeduncleLeft,CerebellarWMLeft,CerebellarWMLeft,CerebellarWMLeft,WMLeft
33,CerebralPeduncleLeft,CorticofugalLeft,CorticofugalLeft,BrainstemWMLeft,WMLeft
34,AnteriorLimbInternalCapsuleLeft,InternalCapsuleLeft,ProjectionLeft,HemisphereWMLeft,WMLeft
35,PosteriorLimbInternalCapsuleLeft,InternalCapsuleLeft,ProjectionLeft,HemisphereWMLeft,WMLeft
36,PosteriorThalamicRadiationLeft,CoronaRadiataLeft,ProjectionLeft,HemisphereWMLeft,WMLeft
37,AnteriorCoronaRadiataLeft,CoronaRadiataLeft,ProjectionLeft,HemisphereWMLeft,WMLeft
38,SuperiorCoronaRadiataLeft,CoronaRadiataLeft,ProjectionLeft,HemisphereWMLeft,WMLeft
39,PosteriorCoronaRadiataLeft,CoronaRadiataLeft,ProjectionLeft,HemisphereWMLeft,WMLeft
40,CingulumLeft,cingulumLeft,limbicLeft,HemisphereWMLeft,WMLeft
41,CingulumHippocampalLeft,cingulumLeft,limbicLeft,HemisphereWMLeft,WMLeft
42,FornixStriaTerminalisLeft,limbicLeft,limbicLeft,HemisphereWMLeft,WMLeft
43,SuperiorLongitudinalFasciculusLeft,AssociationLeft,AssociationLeft,HemisphereWMLeft,WMLeft
44,SuperiorFronto-occipitalFasciculusLeft,AssociationLeft,AssociationLeft,HemisphereWMLeft,WMLeft
45,InferiorFronto-occipitalFasciculusLeft,AssociationLeft,AssociationLeft,HemisphereWMLeft,WMLeft
46,SagittalStratumLeft,AssociationLeft,AssociationLeft,HemisphereWMLeft,WMLeft
47,ExternalCapsuleLeft,AssociationLeft,AssociationLeft,HemisphereWMLeft,WMLeft
48,UncinateFasciculusLeft,AssociationLeft,AssociationLeft,HemisphereWMLeft,WMLeft
49,PontineCrossingTractLeft,corticofula-cerebellarLeft,CerebellarWMLeft,CerebellarWMLeft,WMLeft
50,MiddleCerebellarPeduncleLeft,corticofula-cerebellarLeft,CerebellarWMLeft,CerebellarWMLeft,WMLeft
51,FornixLeft,limbicLeft,limbicLeft,HemisphereWMLeft,WMLeft
52,GenuCorpusCallosumLeft,CommissureLeft,CommissureLeft,HemisphereWMLeft,WMLeft
53,BodyCorpusCallosumLeft,CommissureLeft,CommissureLeft,HemisphereWMLeft,WMLeft
54,SpleniumCorpusCallosumLeft,CommissureLeft,CommissureLeft,HemisphereWMLeft,WMLeft
55,RetrolenticularInternalCapsuleLeft,InternalCapsuleLeft,ProjectionLeft,HemisphereWMLeft,WMLeft
56,RedNc_L,midbrain_L,midbrain_L,midbrain,Brainstem
57,Snigra_L,midbrain_L,midbrain_L,midbrain,Brainstem
58,TapatumLeft,CommissureLeft,CommissureLeft,HemisphereWMLeft,WMLeft
59,Caud_L,Striatum_L,BasalGang_L,CerebralNucli_L,CerebralNucli_L
60,Put_L,Striatum_L,BasalGang_L,CerebralNucli_L,CerebralNucli_L
61,Thalamus_L,Thalamus_L,Thalamus_L,Thalamus_L,CerebralNucli_L
62,GP_L,GP_L,BasalGang_L,CerebralNucli_L,CerebralNucli_L
63,Midbrain_L,midbrain_L,midbrain_L,midbrain,Brainstem
64,Reticularformationleft,Reticularformationleft,Reticularformationleft,Reticularformationleft,Brainstem
65,Medulla_L,Medulla_L,Medulla_L,Brainstem_L,Brainstem
66,SPG_R,SPG_R,Parietal_R,CerebralCortex_R,CerebralCortex_R
67,Cingulate_R,Cingulate_R,Limbic_R,CerebralCortex_R,CerebralCortex_R
68,SFG_R,SFG_R,Frontal_R,CerebralCortex_R,CerebralCortex_R
69,MFG_R,MFG_R,Frontal_R,CerebralCortex_R,CerebralCortex_R
70,IFG_R,IFG_R,Frontal_R,CerebralCortex_R,CerebralCortex_R
71,PrCG_R,PrCG_R,Frontal_R,CerebralCortex_R,CerebralCortex_R
72,PoCG_R,PoCG_R,Parietal_R,CerebralCortex_R,CerebralCortex_R
73,AG_R,AG_R,Parietal_R,CerebralCortex_R,CerebralCortex_R
74,PrCu_R,PrCu_R,Parietal_R,CerebralCortex_R,CerebralCortex_R
75,Cu_R,Cu_R,Occipital_R,CerebralCortex_R,CerebralCortex_R
76,LG_R,LG_R,Occipital_R,CerebralCortex_R,CerebralCortex_R
77,FuG_R,FuG_R,Temporal_R,CerebralCortex_R,CerebralCortex_R
78,PHG_R,Limbic_R,Limbic_R,CerebralCortex_R,CerebralCortex_R
79,SOG_R,SOG_R,Occipital_R,CerebralCortex_R,CerebralCortex_R
80,IOG_R,IOG_R,Occipital_R,CerebralCortex_R,CerebralCortex_R
81,MOG_R,MOG_R,Occipital_R,CerebralCortex_R,CerebralCortex_R
82,ENT_R,Limbic_R,Limbic_R,CerebralCortex_R,CerebralCortex_R
83,STG_R,STG_R,Temporal_R,CerebralCortex_R,CerebralCortex_R
84,ITG_R,ITG_R,Temporal_R,CerebralCortex_R,CerebralCortex_R
85,MTG_R,MTG_R,Temporal_R,CerebralCortex_R,CerebralCortex_R
86,LFOG_R,OG_R,Frontal_R,CerebralCortex_R,CerebralCortex_R
87,MFOG_R,OG_R,Frontal_R,CerebralCortex_R,CerebralCortex_R
88,SMG_R,SMG_R,Parietal_R,CerebralCortex_R,CerebralCortex_R
89,RG_R,RG_R,Frontal_R,CerebralCortex_R,CerebralCortex_R
90,Insula_R,Insula_R,Insula_R,CerebralCortex_R,CerebralCortex_R
91,Amyg_R,Amyg_R,Amyg_R,CerebralNucli_R,CerebralNucli_R
92,Hippo_R,Hippo_R,Limbic_R,CerebralCortex_R,CerebralCortex_R
93,CerebellarGM_R,CerebellarGM_R,CerebellarGM_R,CerebellarGM_R,CerebellarGM_R
94,CorticospinalTractRight,CorticofugalRight,CorticofugalRight,BrainstemWMRight,WMRight
95,InferiorCerebellarPeduncleRight,CerebellarWMRight,CerebellarWMRight,CerebellarWMRight,WMRight
96,MedialLemniscusRight,Sensory,Sensory,BrainstemWMRight,WMRight
97,SuperiorCerebellarPeduncleRight,CerebellarWMRight,CerebellarWMRight,CerebellarWMRight,WMRight
98,CerebralPeduncleRight,CorticofugalRight,CorticofugalRight,BrainstemWMRight,WMRight
99,AnteriorLimbInternalCapsuleRight,InternalCapsuleRight,ProjectionRight,HemisphereWMRight,WMRight
100,PosteriorLimbInternalCapsuleRight,InternalCapsuleRight,ProjectionRight,HemisphereWMRight,WMRight
101,PosteriorThalamicRadiationRight,CoronaRadiataRight,ProjectionRight,HemisphereWMRight,WMRight
102,AnteriorCoronaRadiataRight,CoronaRadiataRight,ProjectionRight,HemisphereWMRight,WMRight
103,SuperiorCoronaRadiataRight,CoronaRadiataRight,ProjectionRight,HemisphereWMRight,WMRight
104,PosteriorCoronaRadiataRight,CoronaRadiataRight,ProjectionRight,HemisphereWMRight,WMRight
105,CingulumRight,cingulumRight,limbicRight,HemisphereWMRight,WMRight
106,CingulumHippocampalRight,cingulumRight,limbicRight,HemisphereWMRight,WMRight
107,FornixStriaTerminalisRight,limbicRight,limbicRight,HemisphereWMRight,WMRight
108,SuperiorLongitudinalFasciculusRight,AssociationRight,AssociationRight,HemisphereWMRight,WMRight
109,SuperiorFronto-occipitalFasciculusRight,AssociationRight,AssociationRight,HemisphereWMRight,WMRight
110,InferiorFronto-occipitalFasciculusRight,AssociationRight,AssociationRight,HemisphereWMRight,WMRight
111,SagittalStratumRight,AssociationRight,AssociationRight,HemisphereWMRight,WMRight
112,ExternalCapsuleRight,AssociationRight,AssociationRight,HemisphereWMRight,WMRight
113,UncinateFasciculusRight,AssociationRight,AssociationRight,HemisphereWMRight,WMRight
114,PontineCrossingTractRight,corticofula-cerebellarRight,CerebellarWMRight,CerebellarWMRight,WMRight
115,MiddleCerebellarPeduncleRight,corticofula-cerebellarRight,CerebellarWMRight,CerebellarWMRight,WMRight
116,FornixRight,limbicRight,limbicRight,HemisphereWMRight,WMRight
117,GenuCorpusCallosumRight,CommissureRight,CommissureRight,HemisphereWMRight,WMRight
118,BodyCorpusCallosumRight,CommissureRight,CommissureRight,HemisphereWMRight,WMRight
119,SpleniumCorpusCallosumRight,CommissureRight,CommissureRight,HemisphereWMRight,WMRight
120,RetrolenticularInternalCapsuleRight,InternalCapsuleRight,ProjectionRight,HemisphereWMRight,WMRight
121,RedNc_R,midbrain_R,midbrain_R,midbrain,Brainstem
122,Snigra_R,midbrain_R,midbrain_R,midbrain,Brainstem
123,TapatumRight,CommissureRight,CommissureRight,HemisphereWMRight,WMRight
124,Caud_R,Striatum_R,BasalGang_R,CerebralNucli_R,CerebralNucli_R
125,Put_R,Striatum_R,BasalGang_R,CerebralNucli_R,CerebralNucli_R
126,Thalamus_R,Thalamus_R,Thalamus_R,Thalamus_R,CerebralNucli_R
127,GP_R,GP_R,BasalGang_R,CerebralNucli_R,CerebralNucli_R
128,Midbrain_R,midbrain_R,midbrain_R,midbrain,Brainstem
129,ReticularformationRight,ReticularformationRight,ReticularformationRight,ReticularformationRight,Brainstem
130,Medulla_R,Medulla_R,Medulla_R,Brainstem_R,Brainstem
131,NucAccumbens_L,Striatum_L,BasalGang_L,CerebralNucli_L,CerebralNucli_L
132,NucAccumbens_R,Striatum_R,BasalGang_R,CerebralNucli_R,CerebralNucli_R
133,HypoThalamus_A_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L
134,HypoThalamus_A_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R
135,OpticTractLeft,OpticTractLeft,OpticTractLeft,CranialLeft,CranialLeft
136,OpticTractRigh,OpticTractRight,OpticTractRight,CranialRight,CranialRight
137,HypoThalamus_B_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L
138,HypoThalamus_B_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R
139,HypoThalamus_C_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R
140,HypoThalamus_C_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L
141,HypoThalamus_D_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L
142,HypoThalamus_D_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R
143,HypoThalamus_E_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L
144,HypoThalamus_E_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R
145,HypoThalamus_F_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L
146,HypoThalamus_F_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R
147,HypoThalamus_G_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L,BasalForebrain_L
148,HypoThalamus_G_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R,BasalForebrain_R
149,LVL_frontalLeft,LVL_frontalLeft,VentricleLeft,Ventricle,Ventricle
150,LVL_frontalRight,LVL_frontalRight,VentricleRight,Ventricle,Ventricle
151,LVL_bodyLeft,LVL_bodyLeft,VentricleLeft,Ventricle,Ventricle
152,LVL_bodyRight,LVL_bodyRight,VentricleRight,Ventricle,Ventricle
153,LVL_atriumLeft,LVL_atriumLeft,VentricleLeft,Ventricle,Ventricle
154,LVL_atriumRight,LVL_atriumRight,VentricleRight,Ventricle,Ventricle
155,LVL_occipitalLeft,LVL_occipitalLeft,VentricleLeft,Ventricle,Ventricle
156,LVL_occipitalRight,LVL_occipitalRight,VentricleRight,Ventricle,Ventricle
157,LVL_temporalLeft,LVL_temporalLeft,VentricleLeft,Ventricle,Ventricle
158,LVL_temporalRight,LVL_temporalRight,VentricleRight,Ventricle,Ventricle
159,IIIandIVventricle,IIIandIVventricle,IIIandIVventricle,Ventricle,Ventricle
160,SLF-tLeft,AssociationLeft,AssociationLeft,HemisphereWMLeft,WMLeft
161,SLF-tRight,AssociationRight,AssociationRight,HemisphereWMRight,WMRight
162,ICP-cerebellumLeft,CerebellarWMLeft,CerebellarWMLeft,CerebellarWMLeft,WMLeft
163,ICP-cerebellumRight,CerebellarWMRight,CerebellarWMRight,CerebellarWMRight,WMRight
164,CerebellumBranch-ALeft,CerebellarPeripheralWMLeft,CerebellarWMLeft,CerebellarWMLeft,WMLeft
165,CerebellumBranch-ARight,CerebellarPeripheralWMRight,CerebellarWMRight,CerebellarWMRight,WMRight
166,CerebellumBranch-BLeft,CerebellarPeripheralWMLeft,CerebellarWMLeft,CerebellarWMLeft,WMLeft
167,CerebellumBranch-BRight,CerebellarPeripheralWMRight,CerebellarWMRight,CerebellarWMRight,WMRight
168,CSF,CSF,CSF,CSF,CSF
169,CavumSeptumPellucidum,CavumSeptumPellucidum,Ventricle,Ventricle,Ventricle
170,Unused  xxxx,,,,
